24621,Uq=0.003548
Angle=0.523087,Uq=0.023354
Angle=0.524621,Uq=0.018274
Angle=0.524621,Uq=0.027629
Angle=0.526155,Uq=0.021488
Angle=0.526155,Uq=0.029842
Angle=0.526155,Uq=0.042591
Angle=0.527689,Uq=0.040254
Angle=0.527689,Uq=0.051394
Angle=0.529223,Uq=0.052455
Angle=0.530757,Uq=0.055966
Angle=0.533825,Uq=0.046714
Angle=0.535359,Uq=0.053431
Angle=0.536893,Uq=0.059979
Angle=0.539961,Uq=0.055422
Angle=0.547631,Uq=0.007723
Angle=0.558369,Uq=0.019953
Angle=0.562971,Uq=0.015291
Angle=0.566039,Uq=0.022093
Angle=0.564505,Uq=0.054185
Angle=0.562971,Uq=0.066164
Angle=0.564505,Uq=0.056869
Angle=0.564505,Uq=0.069241
Angle=0.566039,Uq=0.062575
Angle=0.566039,Uq=0.069291
Angle=0.566039,Uq=0.078182
Angle=0.567573,Uq=0.076062
Angle=0.567573,Uq=0.083760
Angle=0.569107,Uq=0.080766
Angle=0.570641,Uq=0.080982
Angle=0.572175,Uq=0.088141
Angle=0.573709,Uq=0.091032
Angle=0.576777,Uq=0.082503
Angle=0.576777,Uq=0.099319
Angle=0.579845,Uq=0.097255
Angle=0.581379,Uq=0.100690
Angle=0.585981,Uq=0.082404
Angle=0.602854,Uq=0.053423
Angle=0.608990,Uq=0.033363
Angle=0.610524,Uq=0.051211
Angle=0.607456,Uq=0.085171
Angle=0.607456,Uq=0.090754
Angle=0.608990,Uq=0.088146
Angle=0.608990,Uq=0.095557
Angle=0.610524,Uq=0.091664
Angle=0.610524,Uq=0.103877
Angle=0.612058,Uq=0.101646
Angle=0.613592,Uq=0.103100
Angle=0.615126,Uq=0.111763
Angle=0.618194,Uq=0.107424
Angle=0.619728,Uq=0.110417
Angle=0.621262,Uq=0.115936
Angle=0.624330,Uq=0.113400
Angle=0.628932,Uq=0.092488
Angle=0.645806,Uq=0.057929
Angle=0.650408,Uq=0.057420
Angle=0.653476,Uq=0.059542
Angle=0.651942,Uq=0.089977
Angle=0.651942,Uq=0.098197
Angle=0.653476,Uq=0.090983
Angle=0.653476,Uq=0.105064
Angle=0.655010,Uq=0.104246
Angle=0.655010,Uq=0.115115
Angle=0.656544,Uq=0.116556
Angle=0.659612,Uq=0.107374
Angle=0.662680,Uq=0.107097
Angle=0.665748,Uq=0.107265
Angle=0.674952,Uq=0.060436
Angle=0.688757,Uq=0.073749
Angle=0.694893,Uq=0.068431
Angle=0.696427,Uq=0.078829
Angle=0.697961,Uq=0.073408
Angle=0.697961,Uq=0.088320
Angle=0.701029,Uq=0.076002
Angle=0.702563,Uq=0.085883
Angle=0.705631,Uq=0.084276
Angle=0.708699,Uq=0.079907
Angle=0.711767,Uq=0.080242
Angle=0.731709,Uq=0.040050
Angle=0.736311,Uq=0.059447
Angle=0.739379,Uq=0.051242
Angle=0.739379,Uq=0.067364
Angle=0.742447,Uq=0.058227
Angle=0.745515,Uq=0.052920
Angle=0.748583,Uq=0.046993
Angle=0.751651,Uq=0.052327
Angle=0.768524,Uq=-0.035931
Angle=0.774660,Uq=0.028709
Angle=0.777728,Uq=0.025452
Angle=0.779262,Uq=0.026353
Angle=0.779262,Uq=0.041391
Angle=0.780796,Uq=0.033264
Angle=0.780796,Uq=0.043998
Angle=0.782330,Uq=0.044877
Angle=0.783864,Uq=0.046028
Angle=0.786932,Uq=0.038314
Angle=0.788466,Uq=0.046609
Angle=0.791534,Uq=0.038000
Angle=0.793068,Uq=0.045870
Angle=0.794602,Uq=0.052164
Angle=0.813010,Uq=-0.006968
Angle=0.816078,Uq=0.030955
Angle=0.817612,Uq=0.031730
Angle=0.820680,Uq=0.016174
Angle=0.820680,Uq=0.031440
Angle=0.820680,Uq=0.042022
Angle=0.820680,Uq=0.048614
Angle=0.820680,Uq=0.058515
Angle=0.822214,Uq=0.055633
Angle=0.822214,Uq=0.064623
Angle=0.823748,Uq=0.066774
Angle=0.825282,Uq=0.067520
Angle=0.826816,Uq=0.066873
Angle=0.828350,Uq=0.072773
Angle=0.829884,Uq=0.076408
Angle=0.832952,Uq=0.068763
Angle=0.834486,Uq=0.075760
Angle=0.836020,Uq=0.080860
Angle=0.839087,Uq=0.073932
Angle=0.855961,Uq=0.030051
Angle=0.857495,Uq=0.071357
Angle=0.860563,Uq=0.052606
Angle=0.866699,Uq=0.018383
Angle=0.863631,Uq=0.058509
Angle=0.862097,Uq=0.079256
Angle=0.863631,Uq=0.071462
Angle=0.863631,Uq=0.082514
Angle=0.863631,Uq=0.088728
Angle=0.865165,Uq=0.088474
Angle=0.865165,Uq=0.097461
Angle=0.865165,Uq=0.112104
Angle=0.868233,Uq=0.097949
Angle=0.868233,Uq=0.108961
Angle=0.869767,Uq=0.111849
Angle=0.872835,Uq=0.108768
Angle=0.874369,Uq=0.112780
Angle=0.877437,Uq=0.104736
Angle=0.880505,Uq=0.095955
Angle=0.880505,Uq=0.120183
Angle=0.901981,Uq=0.042956
Angle=0.909651,Uq=0.046389
Angle=0.908117,Uq=0.080099
Angle=0.908117,Uq=0.089769
Angle=0.909651,Uq=0.087448
Angle=0.909651,Uq=0.098476
Angle=0.912719,Uq=0.084419
Angle=0.914253,Uq=0.088147
Angle=0.917321,Uq=0.089526
Angle=0.920389,Uq=0.086980
Angle=0.923456,Uq=0.087758
Angle=0.944932,Uq=0.027891
Angle=0.948000,Uq=0.065596
Angle=0.949534,Uq=0.073714
Angle=0.952602,Uq=0.064191
Angle=0.955670,Uq=0.052351
Angle=0.957204,Uq=0.060733
Angle=0.960272,Uq=0.067249
Angle=0.964874,Uq=0.060241
Angle=0.989418,Uq=-0.047059
Angle=0.990952,Uq=0.031314
Angle=0.992486,Uq=0.032537
Angle=0.994020,Uq=0.031398
Angle=0.995554,Uq=0.028189
Angle=0.997088,Uq=0.026412
Angle=0.997088,Uq=0.043165
Angle=1.009359,Uq=-0.027813
Angle=1.018563,Uq=-0.005663
Angle=1.024699,Uq=-0.007816
Angle=1.027767,Uq=0.002064
Angle=1.030835,Uq=0.002617
Angle=1.033903,Uq=-0.001293
